iter	Logloss
0	0.68711409
1	0.6817472765
2	0.6778569985
3	0.6740999843
4	0.6715372952
5	0.6689159354
6	0.6667209218
7	0.6651249096
8	0.6630116633
9	0.6617623536
10	0.6603119849
11	0.6593823967
12	0.658445095
13	0.6576173412
14	0.6570045491
15	0.6563744969
16	0.6558781062
17	0.6553907161
18	0.655125881
19	0.6547182174
20	0.654510734
21	0.6542661207
22	0.6541551279
23	0.6539600008
24	0.6539158698
25	0.6538424331
26	0.6536284709
27	0.6534764367
28	0.6534565042
29	0.6533773583
30	0.6533080949
31	0.65325904
32	0.6532455492
33	0.6532024667
34	0.6531192934
35	0.6531177943
36	0.653027487
37	0.6529884131
38	0.6529322066
39	0.6528784389
40	0.652754736
41	0.6527441428
42	0.6526922356
43	0.6525948324
44	0.6525920942
45	0.652578881
46	0.6525418144
47	0.6524294293
48	0.6523651697
49	0.6523651646
50	0.6523434925
51	0.6523118143
52	0.6522920996
53	0.6522773265
54	0.652267173
55	0.6522549442
56	0.6522448356
57	0.6521755302
58	0.6521699655
59	0.6521407678
60	0.6520811437
61	0.651999269
62	0.6519992682
63	0.6519880445
64	0.6519846538
65	0.6519196306
66	0.6519130888
67	0.6518897787
68	0.6518440043
69	0.6518223585
70	0.6518031746
71	0.6518029448
72	0.6518001564
73	0.6517496183
74	0.6516816714
75	0.6516793191
76	0.6516786292
77	0.6516752703
78	0.6516016772
79	0.6516000649
80	0.6515680455
81	0.6515489581
82	0.6515425653
83	0.6515213451
84	0.6514841625
85	0.6514484244
86	0.6513880775
87	0.651260859
88	0.6512135736
89	0.6511254502
90	0.6511253449
91	0.6511252411
92	0.6510711222
93	0.6510509167
94	0.6510509117
95	0.6510336349
96	0.6509518143
97	0.6509282337
98	0.6508959681
99	0.6507262131
100	0.6506982131
101	0.6506763517
102	0.6506542796
103	0.6506276901
104	0.650614691
105	0.6505784057
106	0.6505118671
107	0.6504932527
108	0.6504687116
109	0.6504418474
110	0.6504411486
111	0.6503597065
112	0.6503350625
113	0.6502818779
114	0.6502667348
115	0.6501096585
116	0.6500533547
117	0.6500163059
118	0.6500083737
119	0.6499696604
120	0.649851943
121	0.6498504442
122	0.6498338198
123	0.6497050112
124	0.6496349341
125	0.6495517309
126	0.6495295831
127	0.6494406188
128	0.6494035305
129	0.6493304543
130	0.6492813899
131	0.6492386473
132	0.6491971332
133	0.6491677866
134	0.6491280634
135	0.6491142137
136	0.6490783792
137	0.6490495168
138	0.6490128285
139	0.648993914
140	0.6488184559
141	0.6487625365
142	0.6487054757
143	0.6486412236
144	0.6486060407
145	0.648578026
146	0.6485556299
147	0.6485544552
148	0.6484831003
149	0.6484203403
