iter	Passed	Remaining
0	310	46298
1	372	27580
2	424	20793
3	522	19068
4	598	17368
5	662	15893
6	732	14960
7	798	14169
8	888	13921
9	976	13673
10	1111	14039
11	1215	13974
12	1500	15817
13	1663	16157
14	1749	15746
15	1822	15262
16	1905	14904
17	1991	14602
18	2061	14210
19	2126	13822
20	2174	13360
21	2240	13033
22	2314	12777
23	2385	12523
24	2435	12176
25	2502	11935
26	2572	11717
27	2642	11511
28	2701	11269
29	2754	11016
30	2823	10837
31	2885	10639
32	2935	10407
33	3004	10249
34	3073	10097
35	3109	9846
36	3189	9740
37	3260	9610
38	3335	9494
39	3399	9348
40	3475	9241
41	3518	9048
42	3605	8971
43	3679	8863
44	3720	8680
45	3750	8479
46	3816	8363
47	3889	8264
48	3967	8178
49	4013	8026
50	4091	7942
51	4167	7854
52	4237	7756
53	4304	7651
54	4353	7519
55	4394	7377
56	4442	7247
57	4523	7174
58	4558	7030
59	4628	6943
60	4696	6851
61	4766	6764
62	4787	6611
63	4861	6532
64	4912	6423
65	4991	6352
66	5033	6235
67	5106	6158
68	5177	6077
69	5219	5965
70	5279	5874
71	5323	5767
72	5368	5662
73	5440	5587
74	5526	5526
75	5582	5435
76	5615	5323
77	5649	5215
78	5718	5139
79	5763	5042
80	5842	4976
81	5916	4906
82	5962	4812
83	6023	4732
84	6086	4654
85	6156	4581
86	6226	4509
87	6296	4435
88	6361	4360
89	6432	4288
90	6462	4189
91	6493	4093
92	6566	4024
93	6610	3938
94	6641	3844
95	6708	3773
96	6785	3707
97	6849	3634
98	6913	3561
99	6991	3495
100	7043	3417
101	7114	3348
102	7182	3277
103	7249	3206
104	7312	3134
105	7379	3063
106	7454	2995
107	7522	2925
108	7593	2856
109	7659	2785
110	7703	2706
111	7768	2635
112	7837	2566
113	7903	2495
114	7969	2425
115	8037	2355
116	8101	2284
117	8165	2214
118	8236	2145
119	8309	2077
120	8380	2008
121	8435	1936
122	8502	1866
123	8572	1797
124	8650	1730
125	8722	1661
126	8791	1592
127	8981	1543
128	9244	1504
129	9561	1471
130	9666	1402
131	9749	1329
132	9832	1256
133	9910	1183
134	9980	1108
135	10048	1034
136	10118	960
137	10190	886
138	10270	812
139	10344	738
140	10416	664
141	10484	590
142	10575	517
143	10653	443
144	10738	370
145	10808	296
146	10882	222
147	10964	148
148	11042	74
149	11116	0
