SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;QT_APTOS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;TOTAL_BRANCO_NULO;PERC_DESCONTENTES;CD_MUNICIPIO_IBGE;NM_MUNICIPIO_IBGE;POPULACAO_2022;PROP_ELEITORADO
MG;40002;ALFREDO VASCONCELOS;5774;283;626;909;15.74298579840665;3101631;Alfredo Vasconcelos - MG;6931;83.30688212379165
MG;40010;ABADIA DOS DOURADOS;5706;195;410;605;10.602874167542938;3100104;Abadia dos Dourados - MG;6272;90.97576530612244
MG;40029;ARAPORÃ;6411;271;386;657;10.24801123069724;3103751;Araporã - MG;8479;75.61033140700553
MG;40037;ABAETÉ;18927;864;1037;1901;10.04385269720505;3100203;Abaeté - MG;22675;83.47078280044101
MG;40045;BRASILÂNDIA DE MINAS;11708;261;683;944;8.062862999658353;3108552;Brasilândia de Minas - MG;15020;77.94940079893476
MG;40053;ABRE CAMPO;11459;675;848;1523;13.290863077057336;3100302;Abre Campo - MG;13927;82.27902635169096
MG;40061;CAPITÃO ANDRADE;4071;96;250;346;8.499140260378285;3112653;Capitão Andrade - MG;4585;88.78953107960741
MG;40070;ACAIACA;3537;158;333;491;13.88182075204976;3100401;Acaiaca - MG;3909;90.48349961627015
MG;40088;CARNEIRINHO;7664;228;478;706;9.211899791231732;3114550;Carneirinho - MG;9422;81.34154107408193
MG;40096;AÇUCENA;8597;353;722;1075;12.50436198673956;3100500;Açucena - MG;8943;96.1310522196131
MG;40100;CATUJI;8043;159;677;836;10.394131542956607;3115458;Catuji - MG;7030;114.40967283072547
MG;40118;ÁGUA BOA;11852;148;828;976;8.234897063786702;3100609;Água Boa - MG;12589;94.14568273889904
MG;40126;DIVISA ALEGRE;5245;117;481;598;11.401334604385127;3122355;Divisa Alegre - MG;6321;82.97737699731054
MG;40134;ÁGUA COMPRIDA;2379;117;162;279;11.727616645649434;3100708;Água Comprida - MG;2108;112.85578747628084
MG;40142;DIVISÓPOLIS;6859;128;625;753;10.978276716722554;3122454;Divisópolis - MG;10213;67.1595025947322
MG;40150;AGUANIL;4005;240;364;604;15.081148564294631;3100807;Aguanil - MG;4357;91.92104659169154
MG;40169;DURANDÉ;6569;208;475;683;10.397320748972447;3123528;Durandé - MG;7817;84.03479595752846
MG;40177;ÁGUAS FORMOSAS;15898;281;975;1256;7.900364825764247;3100906;Águas Formosas - MG;18448;86.17736339982653
MG;40185;ENTRE FOLHAS;5856;196;415;611;10.433743169398907;3123858;Entre Folhas - MG;5179;113.07202162579648
MG;40193;ÁGUAS VERMELHAS;10295;220;742;962;9.344341913550268;3101003;Águas Vermelhas - MG;14037;73.34188216855453
MG;40207;FERVEDOURO;8014;304;858;1162;14.499625655103568;3125952;Fervedouro - MG;10445;76.72570607946386
MG;40215;AIMORÉS;19164;759;936;1695;8.844708829054477;3101102;Aimorés - MG;25269;75.83996200878546
MG;40223;FRANCISCÓPOLIS;5057;83;427;510;10.08503065058335;3126752;Franciscópolis - MG;5034;100.45689312673818
MG;40231;AIURUOCA;5159;218;458;676;13.10331459585191;3101201;Aiuruoca - MG;6233;82.76913203914647
MG;40240;ICARAÍ DE MINAS;8433;79;429;508;6.023953515949247;3130051;Icaraí de Minas - MG;10677;78.98286035403204
MG;40258;ALAGOA;2473;77;110;187;7.561665992721391;3101300;Alagoa - MG;2749;89.95998544925428
MG;40266;IPABA;14060;585;737;1322;9.402560455192036;3131158;Ipaba - MG;17136;82.04948646125116
MG;40274;ALBERTINA;2980;130;208;338;11.342281879194632;3101409;Albertina - MG;2952;100.94850948509486
MG;40282;JAÍBA;25206;647;1843;2490;9.878600333253988;3135050;Jaíba - MG;37660;66.9304301646309
MG;40290;ALÉM PARAÍBA;27983;1165;1531;2696;9.6344208984026;3101508;Além Paraíba - MG;30717;91.09939121659016
MG;40304;JAMPRUCA;4296;71;342;413;9.613594040968342;3135076;Jampruca - MG;4296;100.0
MG;40312;ALFENAS;61202;3015;3196;6211;10.148361164667822;3101607;Alfenas - MG;78970;77.50031657591491
MG;40320;JUATUBA;22888;1159;1731;2890;12.626703949667949;3136652;Juatuba - MG;30716;74.51491079567653
MG;40339;ALMENARA;30391;615;2155;2770;9.114540488960548;3101706;Almenara - MG;40364;75.29233970865127
MG;40347;LAGOA GRANDE;7458;195;371;566;7.589165996245642;3137536;Lagoa Grande - MG;8969;83.15308284089642
MG;40355;ALPERCATA;6485;203;383;586;9.036237471087125;3101805;Alpercata - MG;6903;93.9446617412719
MG;40363;LIMEIRA DO OESTE;6094;229;360;589;9.665244502789628;3138625;Limeira do Oeste - MG;8687;70.15080004604582
MG;40371;ALPINÓPOLIS;15776;649;890;1539;9.755324543610548;3101904;Alpinópolis - MG;18300;86.20765027322405
MG;40380;LONTRA;8260;153;480;633;7.663438256658596;3138658;Lontra - MG;8790;93.97042093287827
MG;40398;ALTEROSA;12074;471;649;1120;9.27613052840815;3102001;Alterosa - MG;13915;86.7696730147323
MG;40401;MAMONAS;5634;97;395;492;8.732694355697552;3139250;Mamonas - MG;5997;93.94697348674337
