IDADE;ESCOLARIDADE;ESTADO;MORA_COM_PAIS;RECEBE_AUXILIO;RELIGIAO;VOTO_TERCEIRA_VIA_OU_BRANCO
56;Ensino Médio Completo;SP;0;0;Sem religião / Ateu;0
69;Ensino Fundamental;SP;1;1;Sem religião / Ateu;0
46;Ensino Médio Incompleto;SP;0;0;Católica;0
32;Ensino Superior;MG;0;0;Sem religião / Ateu;0
60;Ensino Médio Completo;MG;0;0;Católica;1
25;Ensino Médio Incompleto;MG;1;1;Católica;1
38;Ensino Superior;MG;0;0;Evangélica;0
56;Ensino Superior;SP;0;0;Católica;0
36;Ensino Médio Completo;MG;0;0;Católica;1
40;Ensino Médio Incompleto;MG;0;0;Católica;0
28;Ensino Superior;SP;0;0;Evangélica;1
28;Ensino Médio Completo;SP;1;1;Evangélica;0
41;Ensino Médio Completo;SP;0;0;Católica;0
70;Ensino Superior;SP;0;0;Umbanda;0
53;Ensino Médio Completo;SP;0;0;Evangélica;0
57;Ensino Médio Incompleto;SP;1;0;Candomblé;0
41;Ensino Médio Completo;SP;0;0;Católica;1
20;Ensino Médio Incompleto;MG;0;1;Católica;0
39;Ensino Médio Completo;MG;0;0;Católica;0
70;Ensino Médio Completo;SP;0;0;Evangélica;0
19;Ensino Fundamental;SP;1;0;Evangélica;0
41;Ensino Médio Completo;MG;0;0;Outras;0
61;Ensino Médio Incompleto;SP;0;1;Católica;0
47;Ensino Médio Incompleto;SP;0;0;Católica;0
55;Ensino Médio Completo;SP;0;0;Católica;1
19;Ensino Médio Incompleto;SP;0;0;Católica;0
38;Ensino Médio Completo;SP;0;0;Evangélica;1
50;Ensino Fundamental;MG;0;0;Outras;0
29;Ensino Médio Completo;SP;0;0;Evangélica;0
39;Ensino Superior;SP;0;0;Evangélica;0
61;Ensino Médio Completo;SP;0;1;Evangélica;0
42;Ensino Médio Completo;MG;0;0;Católica;0
66;Ensino Superior;MG;1;0;Umbanda;0
44;Ensino Médio Incompleto;SP;0;1;Evangélica;0
59;Ensino Fundamental;SP;0;1;Católica;0
45;Ensino Médio Completo;SP;0;0;Evangélica;0
33;Ensino Fundamental;SP;0;1;Evangélica;0
32;Ensino Superior;MG;0;0;Católica;0
64;Ensino Médio Incompleto;MG;0;0;Católica;0
68;Ensino Médio Completo;SP;0;0;Católica;0
61;Ensino Médio Completo;SP;0;0;Católica;0
72;Ensino Médio Incompleto;MG;0;1;Católica;0
69;Ensino Médio Completo;MG;0;0;Evangélica;1
74;Ensino Fundamental;SP;0;1;Católica;0
20;Ensino Médio Completo;SP;1;0;Evangélica;1
