IDADE;ESCOLARIDADE;ESTADO;MORA_COM_PAIS;RECEBE_AUXILIO;RELIGIAO;VOTO_TERCEIRA_VIA_OU_BRANCO
56;Ensino Médio Incompleto;TO;0;0;Evangélica;0
69;Ensino Médio Incompleto;PR;1;0;Católica;1
46;Ensino Superior;RR;0;0;Evangélica;0
32;Ensino Fundamental;PE;0;0;Evangélica;1
60;Ensino Médio Completo;AC;0;0;Católica;1
25;Ensino Superior;BA;0;0;Sem religião / Ateu;0
38;Ensino Médio Completo;AP;0;0;Católica;0
56;Ensino Superior;ES;0;0;Sem religião / Ateu;0
36;Ensino Médio Completo;PA;0;0;Evangélica;0
40;Ensino Fundamental;RS;0;0;Católica;0
28;Ensino Superior;PI;0;0;Sem religião / Ateu;0
28;Ensino Médio Incompleto;TO;0;0;Candomblé;0
41;Ensino Médio Completo;PR;0;0;Sem religião / Ateu;0
70;Ensino Médio Incompleto;MS;0;1;Evangélica;0
53;Ensino Médio Incompleto;AM;0;1;Evangélica;0
57;Ensino Médio Completo;AM;0;0;Sem religião / Ateu;1
41;Ensino Médio Incompleto;PR;0;1;Católica;0
20;Ensino Médio Completo;AC;0;0;Católica;0
39;Ensino Superior;MS;0;0;Católica;0
70;Ensino Médio Incompleto;ES;0;0;Sem religião / Ateu;0
19;Ensino Médio Incompleto;MA;1;0;Evangélica;1
41;Ensino Médio Completo;PI;0;0;Católica;0
61;Ensino Médio Completo;PR;0;0;Católica;0
47;Ensino Superior;GO;0;0;Católica;0
55;Ensino Fundamental;TO;0;0;Umbanda;0
19;Ensino Superior;GO;1;0;Candomblé;0
38;Ensino Médio Completo;RJ;0;0;Sem religião / Ateu;1
50;Ensino Médio Completo;MT;0;0;Evangélica;0
29;Ensino Fundamental;RO;0;1;Católica;0
39;Ensino Médio Completo;AC;0;0;Evangélica;0
61;Ensino Médio Incompleto;AP;0;0;Evangélica;1
42;Ensino Médio Incompleto;PA;0;1;Evangélica;0
66;Ensino Médio Completo;SC;0;0;Evangélica;0
44;Ensino Superior;AM;0;0;Evangélica;0
59;Ensino Médio Completo;PI;0;0;Católica;0
45;Ensino Médio Completo;PI;0;0;Sem religião / Ateu;1
33;Ensino Médio Completo;PR;1;0;Católica;0
32;Ensino Médio Completo;MA;0;0;Evangélica;0
