CD_MUNICIPIO;NR_ZONA;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_TERCEIRA_VIA
1392;9;2020;4370;0.0
1392;9;2937;1665;0.0
1015;2;63;309;0.0
1066;4;35;216;0.0
1538;8;270;678;0.0
1066;4;25;49;0.0
1090;4;221;590;0.0
1007;9;82;421;0.0
1023;1;394;695;0.0
1554;3;59;86;0.0
1023;1;301;221;0.0
1090;4;113;522;0.0
1082;4;64;66;0.0
1392;1;5037;5815;0.0
1392;9;3665;2519;0.0
1112;6;233;512;0.0
1031;3;21;50;0.0
1090;4;84;119;0.0
1120;8;134;385;0.0
1066;4;67;312;0.0
1031;3;21;140;0.0
1007;9;127;104;0.0
1120;8;194;144;0.0
1457;3;313;192;0.0
1554;3;44;66;0.0
1040;4;52;390;0.0
1058;6;469;875;0.0
1554;3;67;334;0.0
1473;5;380;350;0.0
1104;5;7;72;0.0
1538;8;461;256;0.0
1007;9;211;556;0.0
1139;7;329;1088;0.0
1392;9;4874;5797;0.0
1490;2;95;468;0.0
1570;6;48;325;0.0
1120;8;149;98;0.0
1112;6;227;113;0.0
1074;4;1780;2666;0.0
1511;8;191;167;0.0
1082;4;62;425;0.0
1473;5;335;408;0.0
1007;9;166;154;0.0
1082;4;58;75;0.0
1015;2;89;67;0.0
1074;4;887;1986;0.0
1392;1;1925;4436;0.0
1490;2;229;694;0.0
1490;2;141;160;0.0
1570;6;44;57;0.0
1538;8;608;804;0.0
1112;6;414;584;0.0
1511;8;151;496;0.0
1040;4;42;88;0.0
1058;6;335;238;0.0
1457;3;329;320;0.0
1490;2;103;113;0.0
1090;4;93;110;0.0
1104;5;18;272;0.0
1031;3;26;152;0.0
1023;1;202;629;0.0
1074;4;856;593;0.0
1570;6;41;60;0.0
1538;8;322;200;0.0
1473;5;558;1392;0.0
1570;6;24;233;0.0
1392;1;2906;1676;0.0
1015;2;71;44;0.0
1015;2;109;317;0.0
1473;5;374;1195;0.0
1457;3;616;1323;0.0
1511;8;162;112;0.0
1554;3;103;452;0.0
1023;1;211;137;0.0
1040;4;21;101;0.0
1392;1;3934;2659;0.0
1082;4;138;411;0.0
1058;6;254;178;0.0
1511;8;296;584;0.0
1040;4;87;483;0.0
1139;7;179;285;0.0
1120;8;235;435;0.0
1457;3;424;1191;0.0
1139;7;218;367;0.0
1066;4;17;40;0.0
1139;7;213;829;0.0
1058;6;302;669;0.0
1112;6;308;169;0.0
1031;3;19;43;0.0
1104;5;12;243;0.0
1104;5;6;53;0.0
1074;4;883;739;0.0
27979;5;86;66;0.0
28134;11;236;858;0.0
27715;14;196;472;0.0
27731;44;45;253;0.0
28894;31;478;1491;0.0
27251;5;563;1001;0.0
27278;47;341;1209;0.0
27316;27;251;1056;0.0
28770;8;282;691;0.0
27758;53;339;300;0.0
28533;15;4914;4754;0.0
28835;20;355;1146;0.0
27065;18;167;149;0.0
28410;40;601;1530;0.0
28770;8;482;885;0.0
27154;28;141;96;0.0
28819;45;399;343;0.0
27855;3;5146;5312;0.0
28274;11;373;305;0.0
27839;47;600;348;0.0
27197;48;469;995;0.0
27413;16;358;950;0.0
28851;21;877;2697;0.0
27936;26;890;2633;0.0
28070;29;175;409;0.0
28894;31;744;1381;0.0
28479;12;234;162;0.0
27170;29;91;77;0.0
27430;8;169;131;0.0
27022;39;215;202;0.0
28150;40;145;153;0.0
27570;44;1094;2185;0.0
28754;49;1629;1847;0.0
27359;19;129;556;0.0
27855;33;4963;9063;0.0
27030;48;245;700;0.0
28070;29;79;99;0.0
28436;50;253;699;0.0
28037;9;279;771;0.0
28436;50;162;536;0.0
28690;17;632;1360;0.0
28452;14;410;1139;0.0
27030;48;367;278;0.0
28290;12;698;896;0.0
28770;8;600;776;0.0
27758;53;475;1202;0.0
27855;1;5349;7951;0.0
27090;17;543;1128;0.0
28290;12;551;1114;0.0
27430;8;250;507;0.0
28835;20;253;1502;0.0
28452;14;1108;1434;0.0
27219;9;203;129;0.0
28371;8;1196;782;0.0
27774;14;107;93;0.0
27839;47;576;325;0.0
28339;13;1134;852;0.0
28657;16;913;1398;0.0
27952;48;360;1025;0.0
27294;20;172;380;0.0
28916;51;175;688;0.0
28932;34;1036;767;0.0
27049;46;207;118;0.0
27650;39;215;267;0.0
27510;49;319;925;0.0
27650;39;236;770;0.0
28274;11;312;866;0.0
28592;19;816;858;0.0
27898;14;1389;922;0.0
28371;8;875;644;0.0
27537;7;166;229;0.0
27812;44;446;224;0.0
28517;28;330;902;0.0
28878;5;908;1910;0.0
28231;11;91;319;0.0
27812;44;462;1285;0.0
28312;28;131;519;0.0
28037;9;581;965;0.0
27758;53;244;923;0.0
27332;6;266;779;0.0
28495;37;558;347;0.0
28096;9;988;1412;0.0
28673;51;701;1871;0.0
27197;48;758;380;0.0
27332;6;225;244;0.0
28754;49;897;476;0.0
28550;18;123;104;0.0
27111;26;161;139;0.0
28274;11;617;1188;0.0
27235;46;168;527;0.0
27278;47;979;1688;0.0
28550;18;219;416;0.0
28053;46;75;431;0.0
28010;12;535;372;0.0
27634;37;478;941;0.0
28932;34;1086;725;0.0
27731;44;92;342;0.0
27979;5;94;307;0.0
27634;37;999;1598;0.0
27855;54;6406;12485;0.0
27839;47;343;1007;0.0
27693;14;102;105;0.0
27910;50;152;181;0.0
28673;51;415;512;0.0
27251;5;233;816;0.0
27855;3;2781;9795;0.0
28576;8;131;379;0.0
27812;44;244;750;0.0
28835;20;260;266;0.0
27413;16;662;1650;0.0
27391;45;197;164;0.0
27774;14;146;363;0.0
28630;37;244;455;0.0
27219;9;223;174;0.0
28851;21;1364;1135;0.0
27553;53;160;208;0.0
27596;16;607;799;0.0
27618;45;300;1025;0.0
28193;19;59;396;0.0
27758;53;425;1376;0.0
27855;3;5774;6411;0.0
28150;40;88;102;0.0
27251;5;472;1176;0.0
28819;45;571;1173;0.0
27413;16;800;1336;0.0
28495;37;952;1020;0.0
28932;34;552;1633;0.0
27677;29;51;213;0.0
27081;53;145;111;0.0
28215;50;158;163;0.0
28711;18;2226;2971;0.0
28592;19;1172;2352;0.0
27871;31;255;1028;0.0
28738;12;307;235;0.0
28150;40;161;529;0.0
28355;13;569;1314;0.0
28630;37;292;361;0.0
28673;51;533;2077;0.0
28894;31;258;1000;0.0
28614;21;194;561;0.0
28630;37;229;96;0.0
27693;14;200;391;0.0
28738;12;292;587;0.0
27294;20;242;105;0.0
27049;46;321;153;0.0
28096;9;897;468;0.0
28134;11;357;366;0.0
